,artist,genre
0,Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
1,Papa Roach,"['alternative metal', 'modern rock', 'nu metal', 'rap metal', 'rap rock']"
2,Alan Walker,['electro house']
3,benny blanco,"['electropop', 'pop', 'pop rap']"
4,Bebe Rexha,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
5,Whethan,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house', 'vapor soul', 'vapor twitch']"
6,Vigiland,"['dance pop', 'edm', 'electronic trap', 'pop dance', 'pop rap', 'tropical house']"
7,Witt Lowry,['pop rap']
8,Steve Aoki,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']"
9,Borgeous,"['big room', 'deep big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
10,Cheat Codes,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']"
11,The Chainsmokers,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
12,MKTO,"['dance pop', 'electropop', 'pop', 'pop rap', 'pop rock', 'post-teen pop']"
13,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
14,Bryce Vine,"['pop', 'pop rap']"
15,Lost Kings,"['dance pop', 'edm', 'electro house', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']"
16,Axwell /\ Ingrosso,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
17,Mike Perry,"['big room', 'dance pop', 'deep tropical house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']"
18,Gryffin,"['dance pop', 'edm', 'pop', 'pop dance', 'pop edm', 'tropical house']"
19,Daya,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'viral pop']"
20,Martin Garrix,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']"
21,Seeb,"['dance pop', 'edm', 'electro house', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'swedish pop', 'tropical house']"
22,Dimitri Vegas & Like Mike,"['belgian dance', 'belgian edm', 'big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
23,YUNGBLUD,"['british indie rock', 'modern rock', 'rock']"
24,Stash Konig,[]
25,Kayzo,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']"
26,Slushii,"['brostep', 'edm', 'electro house', 'electronic trap', 'future bass']"
27,Breathe Carolina,"['edm', 'electropowerpop', 'neon pop punk', 'pop punk', 'screamo', 'trancecore']"
